song_name,Mood,tempo,total_beats,chroma_stft_std,chroma_cq_std,chroma_cens_std,melspectrogram_std,mfcc_std,mfcc_delta_std,rmse_std,cent_std,spec_bw_std,contrast_std,rolloff_std,poly_std,tonnetz_std,zcr_std,harm_std,perc_std,frame_std
Freya Ridings - Lost Without You (Official Video).mp3,Sad,184.5703125,511267,0.30804842866150733,0.29900490682324954,0.18603685291714225,3.617161796400754,102.54212042785201,2.729847847357509,0.022395433858036995,1570.16685007226,1253.9586763079174,6.756252758852748,3523.7112516949273,0.25482424811075993,0.1175212967365628,0.09640603892770629,0.03248019143939018,0.007802015170454979,3.913430254238657
"Radical Face - Welcome Home, Son.mp3",Sad,143.5546875,414205,0.2893374266424162,0.27050540653068617,0.1533657491668779,17.6271284045676,52.95030825168517,2.6858696295598663,0.05172014981508255,643.4488948448828,487.94860044626466,6.209047348811092,1406.420693232627,1.6777488407706496,0.08064234929031257,0.03816212457709477,0.09875012189149857,0.034134916961193085,2.7116155269749056
Oli Fox - The Worrying (Audio).mp3,Sad,69.83741554054055,195417,0.31164203828649534,0.28993089677666295,0.14260241763404105,98.64458690860332,59.49418242769743,3.529669593319491,0.12326792627573013,1181.6493047415333,744.1739239422051,6.848601642896401,2399.667956511141,2.3609891853694003,0.08007552611992894,0.07443740304815331,0.14284442365169525,0.101213738322258,2.7926035734297097
Portishead - Roads -.mp3,Sad,151.99908088235293,437257,0.2988731730192093,0.28668492764015807,0.17283509139462316,60.53182568252956,87.80518360033281,3.526888679797662,0.0644972026348114,781.6163600219195,750.5677767985771,7.090150612404334,1717.7513453993554,1.742383713469727,0.09695364624666632,0.0341960977767369,0.1895366907119751,0.050397176295518875,3.1341683745293976
Radiohead - Fake Plastic Trees.mp3,Sad,73.828125,211845,0.3094766405833044,0.28510725676017495,0.18588976915200853,5.405555834470092,74.31981296444938,2.552387960923302,0.02613171376287937,795.5032473784657,697.4983834394898,7.840532786056764,2147.308175903541,0.58205422714383,0.10208283707513384,0.03002475790474696,0.05493248254060745,0.01144425943493843,1.9575248084172066
Rhys Lewis - No Right To Love (Acoustic) Lyrics.mp3,Sad,161.4990234375,454180,0.30565754115550015,0.28726832774300254,0.15941993352557765,38.532335194773445,65.26182031661322,3.4145683251771293,0.06761627644300461,1110.2739990027571,654.7306563076672,6.479709351691153,2107.9599692028146,1.460177472588999,0.09981344694995956,0.06694244655249629,0.13147565722465515,0.046560514718294144,1.4869367128307318
Pink Floyd - Wish You Were Here.mp3,Sad,117.45383522727273,336389,0.2879523921306214,0.2621450197473226,0.13246353817195997,2.0318825425852665,84.50381536932804,2.4038553346899607,0.01850758120417595,417.1999635849618,387.1983030838964,10.179061293793879,981.7925913054382,0.3638610040465388,0.08100757449272519,0.03769840722850168,0.020830374211072922,0.00905237440019846,2.71428135053838
Dua Lipa - Homesick (Lyrics).mp3,Sad,129.19921875,374027,0.2931098354977964,0.27622368548453535,0.15758135065363288,41.34655937500654,69.69026706001144,2.591341526938848,0.08032543957233429,631.8233583806402,718.051355419829,11.973365378015925,1563.4204005590443,1.722641104938719,0.0843765829531224,0.030210519696704047,0.1383267045021057,0.041560098528862,2.9694463855597943
flora cash - They Own This Town (Lyric Video).mp3,Sad,86.1328125,243446,0.29983213506436296,0.28560882130003173,0.1665934580668944,79.93102171682642,42.675104892705754,2.889954418599048,0.09353218972682953,1027.631787078472,879.552038721699,6.94378487537335,2542.3194274130933,2.8154747051783784,0.08619930607342258,0.05051047184102156,0.19609446823596954,0.07228285074234009,3.5986680577201815
The Cinematic Orchestra - 'To Build A Home'.mp3,Sad,151.99908088235293,402742,0.2864169604423559,0.26789943989515846,0.14583412950525995,10.231112016326675,87.96709086724663,2.0003787008834677,0.048067010939121246,619.0160872834465,595.2494739117303,6.366677251917742,1351.958399109846,0.9489862076482272,0.08713361184590288,0.03000005763992602,0.07028347998857498,0.0166828203946352,8.106881550241111
