,song_name,tempo,total_beats,chroma_stft_mean,chroma_cq_mean,chroma_cens_mean,melspectrogram_mean,mfcc_mean,mfcc_delta_mean,rmse_mean,cent_mean,spec_bw_mean,contrast_mean,rolloff_mean,poly_mean,tonnetz_mean,zcr_mean,harm_mean,perc_mean,frame_mean
13,Ed Sheeran - Happier (Official Video).mp3Ed Sheeran - Happier (Official Video).mp3,89.10290948275862,527,0.3238667356329071,0.2774406076898184,0.11026664692692549,6.812919883737474,78.80927424633684,1.7697358501460172,0.04051334783434868,533.7823674935476,742.2479892150228,6.716785038414242,1215.0294348016212,0.9144750449202053,0.054070302125725354,0.02020130859214373,0.05243607237935066,0.019505279138684273,1.3143089175099518
14,Daft Punk - One More Time.mp3Daft Punk - One More Time.mp3,14.120133196721312,23,0.31791080625352763,0.25138197902664594,0.11175232761580987,2.847672554984919,100.80576552901049,2.3200229504434113,0.0164930522441864,1064.1291323953442,875.1705916718117,5.019713091897951,2357.3822394721187,0.3601606845219863,0.058293384416397524,0.029404779956079933,0.02657822147011757,0.009257487021386623,2.136235827664399
15,Gavin James - Cigarette Break (JBX Lyrics).mp3Gavin James - Cigarette Break (JBX Lyrics).mp3,112.34714673913044,161,0.301505547120285,0.32168743492984636,0.14497820993938548,4.5074598942196396,111.38013995087552,2.876264188859223,0.03327874094247818,1031.8611152175968,783.5223432322424,7.731822992744746,1908.7403939436306,0.5796332882086798,0.05896673454484227,0.06130320068443244,0.036511197686195374,0.022585317492485046,0.6900122083535564
16,"Sitting, Waiting, Wishing - Jack Johnson.mp3Sitting, Waiting, Wishing - Jack Johnson.mp3",103.359375,827,0.3038217946821979,0.29025887076800644,0.16895170648724284,8.825823254271265,72.61337308623577,5.884221651384295,0.0349118672311306,1099.1361405914772,901.8859145589652,6.863398592581752,2501.171378407939,0.8319877644883596,0.07792149655114974,0.03981461890192566,0.062483206391334534,0.02158118039369583,1.310298460914122
17,Fleetwood Mac - Landslide (Official Music Video).mp3Fleetwood Mac - Landslide (Official Music Video).mp3,117.45383522727273,889,0.32110095931874916,0.2527132151495313,0.10878335372233644,0.8943883795558454,86.38712861536968,1.902898821355717,0.015116443857550621,1032.745331884552,397.4895445494272,6.713867507116997,1633.9520781085196,0.373583340563932,0.06578664422613105,0.061985862268165916,0.02228548750281334,0.006454100366681814,0.7930013967223146
18,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers.mp3Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers.mp3",117.45383522727273,910,0.2950816681791843,0.23801155732942697,0.08545532797097158,97.3976469686054,48.30729470424568,4.36976994666743,0.10714256018400192,694.7474925417919,590.9206960025432,6.896129112940486,1642.3051072046444,2.4976193244286202,0.044912400297231515,0.027703466917863136,0.08833971619606018,0.15733666718006134,1.0873634776376975
19,Prince Fox - Trust.mp3Prince Fox - Trust.mp3,60.09265988372093,329,0.3234813436282314,0.30556921981298446,0.15150133860075143,160.31747648148223,62.54914162527454,4.383777460418315,0.14124931395053864,1134.3973041153079,620.8938967932819,7.924809787976001,2310.4666207838964,2.3017746592988506,0.07166032130307273,0.08975818602180129,0.16339324414730072,0.1437171846628189,1.1538962494083385
20,Galantis - Bones (feat. OneRepublic) [Official Audio].mp3Galantis - Bones (feat. OneRepublic) [Official Audio].mp3,58.72691761363637,7,0.29325368758161396,0.27299165260888036,0.1377771007182149,13.673299207038903,62.56444432426801,3.445501750936576,0.025240875780582428,693.3292950971393,306.15701241687583,8.699020989300017,947.628572594241,1.22174137797979,0.07776754822220636,0.018353690629688293,0.09284095466136932,0.026826079934835434,1.4478986813064465
21,Damien Rice - 9 Crimes Lyrics.mp3Damien Rice - 9 Crimes Lyrics.mp3,161.4990234375,342,0.30038732145021113,0.2896764320930149,0.17988969312107903,3.3085901542072467,121.6538353135433,2.264220287224635,0.022240690886974335,895.3740363110384,467.86169719580806,6.598981281219456,1411.583053575604,0.39493192628594975,0.10736052236408307,0.04303967597941565,0.04221352934837341,0.005836340598762035,1.3673694845446671
22,David Guetta - Let It Be Me (Lyrics) ft. Ava Max.mp3David Guetta - Let It Be Me (Lyrics) ft. Ava Max.mp3,103.359375,585,0.3404100653145163,0.3035087060796097,0.1474922782343003,42.54343631575786,54.421126686062756,3.4599139552259315,0.07834742963314056,1042.023501318383,544.3070802223239,7.3262184318984875,2239.665511953924,2.010721529971979,0.09779569206035689,0.12973836216917153,0.16442815959453583,0.04917682334780693,1.1484908569162202
